source_id,label,n_points,g_points,r_points,span_days
ZTF19aaeuhgo,SN,151,69,82,610.2
ZTF19aafmyow,SN,89,35,54,232.6
ZTF19aagmsrr,SN,58,28,30,150.8
ZTF19aailepg,SN,66,30,36,146.7
ZTF19aailltc,SN,67,33,34,110.8
ZTF19aajxwnz,SN,77,52,25,240.3
ZTF19aakssnv,SN,63,28,35,105.9
ZTF19aakzwao,SN,64,29,35,142.9
ZTF19aalvaxt,SN,64,33,31,129.9
ZTF19aamhqej,SN,76,50,26,169.7
ZTF19aamjvie,SN,58,28,30,85.0
ZTF19aamvape,SN,81,34,47,127.7
ZTF19aaniore,SN,70,29,41,123.7
ZTF19aanovps,SN,58,18,40,124.0
ZTF19aanqzle,SN,51,19,32,99.0
ZTF19aanramr,SN,57,23,34,68.0
ZTF19aanxosu,SN,50,16,34,84.8
ZTF19aapafqd,SN,61,27,34,132.7
ZTF19aapfnym,SN,239,67,172,2217.0
ZTF19aaprygi,SN,72,25,47,1762.2
ZTF19aaqtyku,SN,57,26,31,84.0
ZTF19aaskscv,SN,200,108,92,2197.0
ZTF19aatgwhs,SN,86,38,48,109.7
ZTF19aaujzqh,SN,56,29,27,109.8
ZTF19aaurhox,SN,69,28,41,74.8
ZTF19aauxxgk,SN,117,34,83,168.8
ZTF19aavbjfp,SN,75,39,36,89.0
ZTF19aavhypb,SN,55,25,30,62.9
ZTF19aavhzsc,SN,79,35,44,66.0
ZTF19aavissk,SN,79,30,49,90.9
ZTF19aavitlq,SN,64,16,48,104.9
ZTF19aawgxdn,SN,108,56,52,125.9
ZTF19aawmkja,SN,68,35,33,58.9
ZTF19aawqckx,SN,73,29,44,80.9
ZTF19aawrumx,SN,55,18,37,68.0
ZTF19aaxfzao,SN,64,30,34,86.9
ZTF19aaxqsbn,SN,681,303,378,2173.0
ZTF19aaycomi,SN,92,51,41,103.7
ZTF19aaydpzi,SN,368,132,236,2168.1
ZTF19aayefhi,SN,185,73,112,2172.1
ZTF19aayfaum,SN,52,27,25,122.7
ZTF19aayqait,SN,55,27,28,36.8
ZTF19abauylg,SN,55,25,30,73.9
ZTF19abbnamr,SN,188,82,106,214.6
ZTF19abbxykm,SN,110,42,68,2132.0
ZTF19abctxhf,SN,57,27,30,68.9
ZTF19abcvrpm,SN,55,25,30,34.0
ZTF19abdkcts,SN,54,31,23,92.9
ZTF19abdzehg,SN,52,23,29,125.7
ZTF19abeloei,SN,84,36,48,73.9
ZTF19abfvovo,SN,61,28,33,1889.1
ZTF19abfwtkw,SN,70,30,40,49.0
ZTF19abgiwkt,SN,122,40,82,1822.0
ZTF19abglmpf,SN,61,30,31,66.8
ZTF19abgnuri,SN,65,29,36,48.0
ZTF19abhphah,SN,127,60,67,42.0
ZTF19abhztqq,SN,63,28,35,41.9
ZTF19abidbqp,SN,124,54,70,472.7
ZTF19abimkwn,SN,51,23,28,74.1
ZTF19abinjcy,SN,140,63,77,45.9
ZTF19abitbcj,SN,57,30,27,86.9
ZTF19abjibet,SN,95,44,51,71.9
ZTF19abjpntj,SN,74,30,44,118.8
ZTF19abjsmmv,SN,51,29,22,87.9
ZTF19abmolyr,SN,69,26,43,2097.0
ZTF19abmylxw,SN,114,56,58,90.8
ZTF19abnmnrz,SN,91,42,49,30.0
ZTF19abnmrqt,SN,90,43,47,37.0
ZTF19abopflp,SN,66,26,40,71.7
ZTF19abowcic,SN,69,29,40,46.9
ZTF19abpyqog,SN,57,24,33,76.9
ZTF19abqhobb,SN,198,72,126,283.1
ZTF19abqrhvy,SN,182,87,95,146.7
ZTF19abqsmns,SN,53,23,30,40.0
ZTF19abqyoxt,SN,54,23,31,120.0
ZTF19abrlvij,SN,85,33,52,72.8
ZTF19abrogbl,SN,54,30,24,55.9
ZTF19abtsrup,SN,79,35,44,89.8
ZTF19abudlps,SN,55,18,37,1824.0
ZTF19abueupg,SN,122,60,62,87.8
ZTF19abuhlxk,SN,86,44,42,87.8
ZTF19abulzlj,SN,60,28,32,46.9
ZTF19abuzinv,SN,101,48,53,152.7
ZTF19abvhduf,SN,114,54,60,175.7
ZTF19abvjcii,SN,60,32,28,33.8
ZTF19abvzwlq,SN,54,22,32,43.9
ZTF19abwaohs,SN,99,43,56,70.9
ZTF19abwswzb,SN,58,28,30,77.7
ZTF19abxjimu,SN,124,57,67,1757.1
ZTF19abxvtmn,SN,79,34,45,142.8
ZTF19abymvoy,SN,100,56,44,155.7
ZTF19abzrdup,SN,71,32,39,166.7
ZTF19abztknu,SN,94,37,57,132.7
ZTF19abzulhk,SN,74,34,40,59.0
ZTF19acanzwg,SN,86,38,48,131.8
ZTF19acapeun,SN,106,53,53,145.7
ZTF19acaqoef,SN,198,82,116,165.9
ZTF19acazbqm,SN,88,35,53,73.8
ZTF19acbiwjk,SN,64,29,35,41.0
ZTF19acbpxwt,SN,102,45,57,36.9
ZTF19acbpzir,SN,85,32,53,58.0
ZTF19acbqzvu,SN,61,28,33,52.9
ZTF19acbtkmt,SN,50,25,25,28.7
ZTF19acbvpjn,SN,97,46,51,144.8
ZTF19acbwejj,SN,79,34,45,190.7
ZTF19acbwouf,SN,61,27,34,123.0
ZTF19acbzdvp,SN,57,25,32,784.9
ZTF19acchaza,SN,52,22,30,54.8
ZTF19acekreh,SN,50,29,21,126.4
ZTF19acetxvq,SN,61,28,33,62.0
ZTF19acewuwn,SN,51,24,27,106.9
ZTF19acgjnfz,SN,58,23,35,83.0
ZTF19acgjosf,SN,60,24,36,117.8
ZTF19acgqjln,SN,92,48,44,36.0
ZTF19acignlo,SN,157,62,95,270.3
ZTF19aclofmz,SN,54,21,33,60.9
ZTF19acnfjyw,SN,77,40,37,82.0
ZTF19acnjwgm,SN,81,40,41,89.9
ZTF19acnkeji,SN,54,26,28,58.8
ZTF19acoaoty,SN,77,36,41,58.9
ZTF19acojuzv,SN,54,21,33,111.7
ZTF19acqypso,SN,50,23,27,19.0
ZTF19acrdqej,SN,138,64,74,80.8
ZTF19acryurj,SN,51,21,30,90.8
ZTF19actldas,SN,88,36,52,90.8
ZTF19acvrigb,SN,206,94,112,106.7
ZTF19acwrrvg,SN,67,32,35,85.0
ZTF19acxndsk,SN,92,35,57,82.0
ZTF19acxphhl,SN,52,27,25,36.0
ZTF19acxpuql,SN,109,63,46,214.7
ZTF19acxyfkf,SN,52,20,32,74.7
ZTF19acxyumq,SN,63,31,32,85.9
ZTF19acyfakk,SN,62,29,33,76.1
ZTF19acyggzu,SN,77,21,56,83.9
ZTF19acyiqnw,SN,62,27,35,129.8
ZTF19acyqwlm,SN,108,47,61,79.9
ZTF19adajqwl,SN,84,39,45,128.8
ZTF19adccrca,SN,147,69,78,77.9
ZTF19adcmfqs,SN,340,150,190,1191.9
ZTF19adczgih,SN,255,91,164,1192.9
ZTF20aaavvlv,SN,160,74,86,62.8
ZTF20aaawmxq,SN,131,59,72,53.9
ZTF20aaayaet,SN,56,23,33,49.8
ZTF20aabqisb,SN,82,30,52,62.0
ZTF20aabqiti,SN,71,34,37,86.0
ZTF20aabqrvj,SN,495,292,203,1946.8
ZTF20aabqwtz,SN,145,39,106,222.8
ZTF20aadchdd,SN,81,26,55,188.7
ZTF20aadvaoi,SN,73,35,38,50.7
ZTF20aadyukn,SN,59,21,38,53.8
ZTF20aaelulu,SN,58,31,27,111.7
ZTF20aaevbvv,SN,81,35,46,61.7
ZTF20aafcgca,SN,66,25,41,52.9
ZTF20aafckit,SN,81,30,51,118.8
ZTF20aafjjqj,SN,81,38,43,49.9
ZTF20aaflaug,SN,50,19,31,39.0
ZTF20aafsnpp,SN,70,29,41,50.0
ZTF20aaghlkv,SN,73,38,35,156.8
ZTF20aaghpdc,SN,87,42,45,50.1
ZTF20aagloch,SN,88,40,48,41.0
ZTF20aagnbes,SN,137,51,86,183.8
ZTF20aahfobk,SN,97,47,50,108.9
ZTF20aahptds,SN,71,36,35,41.0
ZTF20aahqbsr,SN,56,22,34,125.8
ZTF20aaichor,SN,52,26,26,27.0
ZTF20aaifzfk,SN,54,19,35,111.7
ZTF20aajbsxt,SN,123,59,64,64.8
ZTF20aajcdad,SN,51,26,25,136.7
ZTF20aakyoez,SN,152,76,76,89.9
ZTF20aalrqbu,SN,58,30,28,103.8
ZTF20aammhli,SN,66,32,34,83.9
ZTF20aamttiw,SN,73,23,50,158.8
ZTF20aandwrl,SN,53,26,27,23.1
ZTF20aanvqbi,SN,50,16,34,156.7
ZTF20aapchqy,SN,132,69,63,126.7
ZTF20aaqtlwo,SN,53,18,35,93.8
ZTF20aascvvo,SN,105,49,56,142.7
ZTF20aasivxr,SN,73,40,33,143.8
ZTF20aatpwaf,SN,59,30,29,61.0
ZTF20aatqesi,SN,160,74,86,193.8
ZTF20aatqidk,SN,50,22,28,108.9
ZTF20aattqle,SN,65,26,39,110.8
ZTF20aattrkw,SN,146,64,82,120.9
ZTF20aattrld,SN,59,23,36,77.8
ZTF20aatulug,SN,58,26,32,75.8
ZTF20aatxryt,SN,92,56,36,376.1
ZTF20aatzwgk,SN,84,39,45,111.7
ZTF20aauowam,SN,65,31,34,78.8
ZTF20aaurgib,SN,108,50,58,90.8
ZTF20aaurhio,SN,110,46,64,76.8
ZTF20aaurjbj,SN,59,27,32,96.8
ZTF20aaurmtf,SN,50,18,32,81.0
ZTF20aauvjws,SN,50,19,31,96.8
ZTF20aavdcxo,SN,75,30,45,90.9
ZTF20aavdgib,SN,59,27,32,47.0
ZTF20aavnnat,SN,185,93,92,90.8
ZTF20aavnnkm,SN,113,41,72,96.8
ZTF20aavnnzx,SN,84,43,41,67.9
ZTF20aavrloz,SN,109,48,61,77.8
ZTF20aavzffg,SN,76,38,38,100.9
ZTF20aavzlxm,SN,60,29,31,72.0
ZTF20aawoojh,SN,50,23,27,38.0
ZTF20aaxndzx,SN,115,56,59,54.0
ZTF20aaybvye,SN,79,39,40,69.8
ZTF20aaycmhl,SN,134,32,102,70.1
ZTF20aayjxdv,SN,54,26,28,73.9
ZTF20aayjyhp,SN,82,29,53,43.8
ZTF20aayvubx,SN,64,31,33,67.1
ZTF20aayxcyn,SN,64,29,35,41.8
ZTF20aayxldg,SN,169,79,90,93.9
ZTF20aazdsty,SN,54,23,31,73.9
ZTF20aazhtvi,SN,88,34,54,76.9
ZTF20aazooyu,SN,58,28,30,47.8
ZTF20aazoqmh,SN,68,31,37,57.9
ZTF20aazpnxl,SN,67,29,38,70.8
ZTF20aazpphd,SN,68,29,39,88.8
ZTF20aazpphr,SN,66,30,36,86.9
ZTF20aazswwk,SN,165,75,90,113.9
ZTF20aazsyvu,SN,62,22,40,52.0
ZTF20abahhml,SN,71,18,53,105.8
ZTF20abarsvz,SN,71,31,40,436.8
ZTF20abbhyxu,SN,66,31,35,80.0
ZTF20abbozif,SN,140,62,78,61.0
ZTF20abbpory,SN,54,26,28,44.9
ZTF20abccixp,SN,58,28,30,98.9
ZTF20abccojn,SN,52,22,30,44.9
ZTF20abchhuw,SN,219,102,117,115.9
ZTF20abcxnbb,SN,75,37,38,113.9
ZTF20abdajyr,SN,58,23,35,56.0
ZTF20abdsunu,SN,62,29,33,68.9
ZTF20abdtiti,SN,81,40,41,58.8
ZTF20abedygm,SN,73,31,42,53.1
ZTF20abegate,SN,73,32,41,76.9
ZTF20abegirf,SN,98,40,58,78.0
ZTF20abegoix,SN,68,24,44,67.9
ZTF20abejvpr,SN,54,27,27,51.0
ZTF20abeljuj,SN,150,71,79,87.9
ZTF20abelnha,SN,58,18,40,57.9
ZTF20abevbxv,SN,71,34,37,243.0
ZTF20abewogd,SN,57,26,31,62.1
ZTF20abexyxk,SN,146,68,78,85.0
ZTF20abfadah,SN,75,39,36,68.0
ZTF20abfcdkj,SN,66,25,41,131.9
ZTF20abfcshg,SN,110,51,59,97.9
ZTF20abffaxl,SN,93,42,51,56.9
ZTF20abgbwmt,SN,104,55,49,117.8
ZTF20abgbxfm,SN,67,29,38,70.0
ZTF20abgbxvb,SN,93,26,67,149.7
ZTF20abgevcw,SN,50,22,28,53.9
ZTF20abgijph,SN,117,43,74,58.1
ZTF20abgtvhl,SN,130,41,89,802.0
ZTF20abgzvff,SN,60,23,37,58.0
ZTF20abhjghg,SN,60,25,35,70.9
ZTF20abhrmxh,SN,70,27,43,52.0
ZTF20abhzgly,SN,93,35,58,68.0
ZTF20abipuee,SN,70,34,36,42.0
ZTF20abjaapj,SN,131,57,74,149.8
ZTF20abjatqy,SN,52,25,27,127.8
ZTF20abjbiqf,SN,50,20,30,68.8
ZTF20abjcyhg,SN,60,30,30,65.0
ZTF20abjkxwa,SN,123,55,68,85.9
ZTF20abjonjs,SN,87,41,46,132.9
ZTF20abjtavx,SN,71,35,36,93.9
ZTF20abjuxoy,SN,92,42,50,143.7
ZTF20abjyoty,SN,60,22,38,148.7
ZTF20abkacis,SN,57,27,30,54.9
ZTF20abkcril,SN,51,21,30,49.0
ZTF20abkdpsy,SN,152,76,76,154.6
ZTF20ablklei,SN,133,59,74,111.9
ZTF20ablqacl,SN,107,32,75,741.1
ZTF20abmbycd,SN,53,21,32,43.1
ZTF20abmdacd,SN,64,29,35,120.8
ZTF20abmtaya,SN,50,18,32,71.0
ZTF20abmudrv,SN,76,32,44,96.8
ZTF20abmxstg,SN,57,27,30,49.8
ZTF20abmzfql,SN,80,37,43,68.9
ZTF20abnbilr,SN,97,51,46,140.8
ZTF20abnmahn,SN,56,26,30,35.9
ZTF20abnnfpv,SN,52,15,37,111.9
ZTF20abnwldu,SN,69,34,35,39.0
ZTF20abodgpt,SN,88,37,51,58.9
ZTF20aboquuv,SN,145,68,77,89.8
ZTF20abpeyat,SN,84,28,56,70.0
ZTF20abpscln,SN,84,31,53,69.9
ZTF20abptxls,SN,107,56,51,161.8
ZTF20abpuxna,SN,62,18,44,88.9
ZTF20abpuyau,SN,59,18,41,77.9
ZTF20abpvolc,SN,87,38,49,75.9
ZTF20abpyxja,SN,98,38,60,75.8
ZTF20abpzatb,SN,94,42,52,42.0
ZTF20abqaqgv,SN,114,57,57,110.8
ZTF20abqdkne,SN,69,25,44,69.9
ZTF20abqetet,SN,56,21,35,50.0
ZTF20abqferm,SN,60,26,34,101.8
ZTF20abqlmwn,SN,101,37,64,197.7
ZTF20abqosnh,SN,70,30,40,48.0
ZTF20abquppg,SN,57,28,29,49.8
ZTF20abrcsdn,SN,76,26,50,171.7
ZTF20abrnvwf,SN,50,17,33,74.8
ZTF20absvtnc,SN,96,49,47,119.7
ZTF20abszyjg,SN,53,23,30,63.9
ZTF20abthxfr,SN,75,35,40,59.0
ZTF20abucjsa,SN,50,20,30,38.0
ZTF20abucvpo,SN,107,50,57,116.8
ZTF20abupbub,SN,86,40,46,65.9
ZTF20abupxie,SN,71,30,41,115.8
ZTF20abushtf,SN,73,23,50,56.0
ZTF20abvowvw,SN,65,29,36,86.8
ZTF20abvquuo,SN,50,20,30,90.8
ZTF20abvtozi,SN,174,83,91,105.7
ZTF20abvtybi,SN,64,24,40,78.0
ZTF20abvykmy,SN,50,23,27,84.9
ZTF20abwavab,SN,109,51,58,73.8
ZTF20abwcnhm,SN,60,29,31,87.8
ZTF20abwdaeo,SN,54,26,28,110.8
ZTF20abwktfx,SN,52,30,22,82.8
ZTF20abwxywy,SN,95,43,52,132.7
ZTF20abwynwj,SN,103,42,61,56.9
ZTF20abxfiev,SN,102,36,66,59.0
ZTF20abxgwjr,SN,110,54,56,64.9
ZTF20abxidyb,SN,50,22,28,46.8
ZTF20abxkwbi,SN,91,30,61,109.9
ZTF20abxpoxd,SN,289,129,160,378.0
ZTF20abxpzxg,SN,68,29,39,31.9
ZTF20abxyaaf,SN,73,30,43,128.8
ZTF20abxyaje,SN,66,28,38,140.7
ZTF20abydkrl,SN,64,33,31,107.8
ZTF20abygigy,SN,51,23,28,77.9
ZTF20abyjoxb,SN,52,23,29,55.9
ZTF20abykfsr,SN,67,29,38,103.9
ZTF20abyptpc,SN,96,53,43,134.8
ZTF20abyvtds,SN,73,31,42,102.8
ZTF20abywzvj,SN,57,25,32,92.8
ZTF20abyxcib,SN,67,27,40,537.7
ZTF20abyyfmw,SN,81,38,43,94.7
ZTF20abyyvrw,SN,136,79,57,225.7
ZTF20abyzgzj,SN,54,27,27,38.9
ZTF20abyzomt,SN,76,40,36,104.9
ZTF20abyzprl,SN,87,44,43,128.7
ZTF20abzcsbt,SN,77,38,39,89.8
ZTF20abzetdf,SN,61,26,35,798.9
ZTF20abzjads,SN,68,31,37,57.9
ZTF20abzjvse,SN,64,30,34,86.9
ZTF20abzpxxu,SN,91,49,42,37.0
ZTF20abzvxyk,SN,82,40,42,47.9
ZTF20acauthg,SN,85,32,53,57.9
ZTF20acbeanu,SN,64,31,33,34.0
ZTF20acberfr,SN,66,28,38,45.0
ZTF20acbovrt,SN,64,31,33,87.8
ZTF20accdijx,SN,64,29,35,115.8
ZTF20accrldu,SN,66,31,35,87.8
ZTF20accxzmn,SN,51,21,30,56.9
ZTF20acdafau,SN,57,30,27,86.9
ZTF20acfasbq,SN,92,40,52,80.9
ZTF20acfkyll,SN,82,34,48,127.9
ZTF20acfkzcg,SN,180,74,106,183.7
ZTF20acfqngt,SN,50,16,34,111.8
ZTF20acfvgdp,SN,76,36,40,132.8
ZTF20acfviac,SN,58,29,29,77.9
ZTF20acgchsp,SN,58,22,36,107.8
ZTF20acgided,SN,75,34,41,103.8
ZTF20acgnbvv,SN,65,29,36,47.0
ZTF20acgnrqu,SN,53,26,27,43.1
ZTF20achbejn,SN,52,20,32,103.8
ZTF20achksbc,SN,51,21,30,47.9
ZTF20achncqp,SN,63,30,33,48.0
ZTF20achuhlt,SN,53,23,30,97.8
ZTF20achusux,SN,80,40,40,126.7
ZTF20achvmoj,SN,62,33,29,123.8
ZTF20acifwef,SN,52,28,24,91.9
ZTF20aciievv,SN,58,27,31,88.9
ZTF20acitojm,SN,51,21,30,97.8
ZTF20aciubjh,SN,50,16,34,116.0
ZTF20aciwcuz,SN,178,87,91,288.6
ZTF20acknpig,SN,78,38,40,126.9
ZTF20ackrqfi,SN,52,23,29,58.0
ZTF20aclvtnk,SN,70,17,53,206.2
ZTF20acmaaan,SN,92,45,47,87.8
ZTF20acnyxln,SN,61,29,32,111.8
ZTF20acpbboa,SN,184,79,105,190.7
ZTF20acpbdvm,SN,82,38,44,191.7
ZTF20acphccy,SN,52,19,33,63.8
ZTF20acphcdv,SN,53,24,29,62.9
ZTF20acpjbgc,SN,396,111,285,1392.1
ZTF20acpkjsn,SN,65,28,37,55.9
ZTF20acpujxl,SN,58,26,32,91.8
ZTF20acpvbbh,SN,63,30,33,103.7
ZTF20acpyaap,SN,52,25,27,114.8
ZTF20acqexmr,SN,59,26,33,100.7
ZTF20acqvwzb,SN,61,24,37,85.9
ZTF20acrudzk,SN,76,39,37,76.0
ZTF20acrufey,SN,75,34,41,62.0
ZTF20acrzwvx,SN,69,32,37,320.1
ZTF20actawpa,SN,99,46,53,178.7
ZTF20actddoh,SN,54,27,27,87.9
ZTF20actdeqw,SN,50,19,31,54.9
ZTF20actkmks,SN,63,23,40,167.7
ZTF20actkutp,SN,62,24,38,165.8
ZTF20actnzxm,SN,58,19,39,170.7
ZTF20actoakx,SN,85,33,52,114.8
ZTF20actpavu,SN,67,34,33,55.0
ZTF20actquzl,SN,51,23,28,96.9
ZTF20acucbek,SN,87,42,45,111.8
ZTF20acugxbm,SN,53,28,25,139.8
ZTF20acuhgar,SN,84,51,33,177.7
ZTF20acuhren,SN,60,24,36,125.7
ZTF20acuzlib,SN,64,26,38,69.8
ZTF20acvezdt,SN,66,33,33,136.8
ZTF20acvjagm,SN,142,69,73,124.8
ZTF20acwofhd,SN,60,18,42,98.9
ZTF20acwqkuz,SN,51,23,28,62.0
ZTF20acwtsrd,SN,51,18,33,58.1
ZTF20acxtgek,SN,79,20,59,154.8
ZTF20acxzqyp,SN,96,48,48,148.9
ZTF20acyqzeu,SN,80,34,46,141.8
ZTF20acyrhbo,SN,67,30,37,120.7
ZTF20acyroke,SN,71,37,34,166.8
ZTF20adadlqv,SN,86,42,44,83.0
ZTF20adadrhw,SN,87,42,45,138.0
ZTF20adaduxg,SN,82,38,44,84.9
ZTF20adagenq,SN,74,36,38,149.8
ZTF21aaabaey,SN,111,45,66,76.8
ZTF21aaabvjk,SN,92,52,40,161.8
ZTF21aaampui,SN,148,73,75,126.8
ZTF21aaaubig,SN,53,25,28,100.7
ZTF21aabjesm,SN,62,26,36,104.9
ZTF21aabygea,SN,82,31,51,155.8
ZTF21aabyifm,SN,58,27,31,117.8
ZTF21aadkhte,SN,94,46,48,149.8
ZTF21aaejeyu,SN,53,27,26,107.8
ZTF21aafdxca,SN,203,112,91,227.6
ZTF21aafepon,SN,76,17,59,254.2
ZTF21aafgljq,SN,50,22,28,87.9
ZTF21aafkktu,SN,61,28,33,112.8
ZTF21aafkpnp,SN,56,27,29,67.8
ZTF21aafkwtk,SN,50,19,31,102.9
ZTF21aagmryd,SN,59,26,33,99.0
ZTF21aagnzjy,SN,75,34,41,106.9
ZTF21aagojfe,SN,62,30,32,95.9
ZTF21aagqbvp,SN,80,29,51,92.9
ZTF21aagqcfs,SN,68,39,29,122.8
ZTF21aagqcnl,SN,178,92,86,144.8
ZTF21aagsihi,SN,70,34,36,116.8
ZTF21aagsypp,SN,80,42,38,130.9
ZTF21aagsysd,SN,63,22,41,118.8
ZTF21aagtekf,SN,72,34,38,70.9
ZTF21aagtqna,SN,83,32,51,150.8
ZTF21aagtqpn,SN,57,21,36,130.9
ZTF21aagtuzm,SN,67,33,34,95.8
ZTF21aagycrc,SN,76,32,44,88.8
ZTF21aaiaqhh,SN,83,28,55,147.9
ZTF21aaifyvi,SN,70,35,35,118.7
ZTF21aaihala,SN,74,39,35,142.7
ZTF21aaizyqc,SN,89,44,45,63.9
ZTF21aakildf,SN,52,21,31,51.0
ZTF21aalinof,SN,62,30,32,108.8
ZTF21aaluqkp,SN,60,32,28,98.8
ZTF21aalxurx,SN,84,40,44,140.8
ZTF21aamfcji,SN,54,24,30,97.8
ZTF21aamgcrv,SN,64,35,29,104.8
ZTF21aamhtui,SN,73,35,38,56.0
ZTF21aamokak,SN,50,26,24,80.9
ZTF21aamwvhr,SN,98,30,68,111.8
ZTF21aamzuxi,SN,53,26,27,79.0
ZTF21aanwmxn,SN,59,25,34,92.9
ZTF21aanzcuj,SN,75,34,41,114.9
ZTF21aaobcrz,SN,67,25,42,72.0
ZTF21aaopqqk,SN,62,26,36,68.0
ZTF21aaossxf,SN,52,27,25,69.0
ZTF21aapehpx,SN,55,24,31,77.0
ZTF21aaphzsw,SN,63,32,31,57.9
ZTF21aapjmgf,SN,54,23,31,81.9
ZTF21aapjqdl,SN,53,19,34,57.9
ZTF21aapkfjx,SN,61,27,34,87.9
ZTF21aapkhsc,SN,54,26,28,88.8
ZTF21aapliyn,SN,70,36,34,115.9
ZTF21aaplnxw,SN,80,36,44,109.8
ZTF21aaqftpz,SN,140,50,90,198.7
ZTF21aaqjmps,SN,70,32,38,108.9
ZTF21aaqldsk,SN,85,29,56,82.9
ZTF21aaqmoof,SN,63,27,36,97.8
ZTF21aaquiwu,SN,77,39,38,105.9
ZTF21aaqujke,SN,85,39,46,65.9
ZTF21aaqyuun,SN,114,54,60,84.9
ZTF21aarigsr,SN,66,30,36,94.9
ZTF21aarjehy,SN,70,32,38,100.8
ZTF21aarnjyd,SN,147,71,76,69.0
ZTF21aarqkes,SN,71,39,32,245.1
ZTF21aarrplo,SN,62,28,34,77.9
ZTF21aasafkl,SN,73,36,37,59.9
ZTF21aasaxdk,SN,70,34,36,42.0
ZTF21aasfseg,SN,76,35,41,48.0
ZTF21aassamj,SN,54,24,30,74.9
ZTF21aasyzkt,SN,54,23,31,67.0
ZTF21aatgisc,SN,135,62,73,102.8
ZTF21aatlesr,SN,89,44,45,125.8
ZTF21aaublej,SN,187,86,101,114.9
ZTF21aaunadg,SN,141,68,73,98.9
ZTF21aavhlry,SN,52,24,28,79.8
ZTF21aavoqpl,SN,70,35,35,42.0
ZTF21aavuprl,SN,78,27,51,58.9
